miRNA,logFC,FC_abs,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,P.ordinary_t,B,consistent_direction,FDR_significant,moderated_only_candidate,exploratory_candidate
hsa-miR-1292-5p,-1.66582,3.1729394715387,-1.62401,-1.58455,-1.7889,-13.9479119625898,4.06017042181525e-07,0.0017954073605267,0.0014085466679057026,3.58401714701047,True,True,True,True
hsa-miR-128-3p,-1.17436333333333,2.25693259709536,-1.47332,-0.8374,-1.21237,-8.02538048274397,3.15653392845175e-05,0.0697909651580682,0.02381838544319798,1.72913380733852,True,False,True,True
hsa-miR-4253,-0.803096666666667,1.74484231943645,-0.78951,-0.9117,-0.70808,-6.74768775216896,0.0001138969591494,0.10990114142631,0.005384774019485969,0.95892861030601,True,False,True,True
hsa-miR-6891-5p,-0.798096666666667,1.73880562360439,-0.80844,-0.89126,-0.69459,-6.71982512199595,0.0001173577874626,0.10990114142631,0.0050636582075073615,0.939766163698948,True,False,True,True
hsa-miR-148b-3p,-0.908403333333333,1.87696706214282,-0.6152,-1.01382,-1.09619,-6.66681177245301,0.0001242663290663,0.10990114142631,0.025703813475648894,0.903000485884187,True,False,True,True
hsa-miR-328-3p,-1.09424333333333,2.13501074903882,-0.62386,-1.48076,-1.17811,-6.47071094693741,0.0001760346762426,0.129737556390869,0.04875909877160163,0.658498550882986,True,False,True,True
hsa-miR-6779-5p,-0.681383333333334,1.60367670939012,-0.69389,-0.63684,-0.71342,-5.87309644876578,0.0003047050785705,0.178394973930227,0.0011348974264090341,0.301781890025214,True,False,True,True
hsa-miR-1910-5p,-1.23502666666667,2.35385698255092,-1.6832,-0.66296,-1.35892,-6.37036379116126,0.0003227407940845,0.178394973930227,0.054568865270206546,0.200901094452144,True,False,True,False
hsa-miR-663a,-0.771396666666667,1.70692144700072,-0.40731,-1.05449,-0.85239,-5.20056103043253,0.000694570549536,0.314667536261274,0.056277963010860785,-0.289127872220853,True,False,True,False
hsa-miR-501-5p,-0.818393333333333,1.76344103112442,-1.01356,-1.06059,-0.38103,-5.19967907017234,0.0007115955139332,0.314667536261274,0.06478776746229391,-0.307507535589899,True,False,True,False
hsa-miR-664a-5p,-0.721723333333334,1.64915080805586,-1.04067,-0.71095,-0.413550000000001,-4.96685586378476,0.0009385618923949,0.377301880742761,0.05758814121691066,-0.513496357773199,True,False,True,False
hsa-miR-3679-5p,-0.63393,1.55178641357664,-0.87217,-0.54238,-0.48724,-4.89667285288192,0.0010289434988314,0.379165679319388,0.034111303556521436,-0.582862200308933,True,False,True,True
hsa-miR-6511a-3p,-1.35106333333333,2.55100076810174,-1.81177,-0.63918,-1.60224,-5.77382329842262,0.0011410352671312,0.38812753471187,0.06457189394173676,-0.695750638119428,True,False,True,False
hsa-miR-125a-5p,-0.729913333333333,1.65853945560076,-0.37808,-0.62913,-1.18253,-4.4591636146721,0.0018883621183313,0.510138278299635,0.09165054103672166,-1.04932052897031,True,False,True,False
hsa-miR-7977,-1.14008,2.20393244032942,-0.45644,-1.60719,-1.35661,-5.05790691031964,0.0020284402680741,0.510138278299635,0.08246714524097275,-1.08609160182948,True,False,True,False
hsa-miR-6085,-1.01357,2.01890076549859,-0.95274,-0.47099,-1.61698,-4.77817750230413,0.0022269037070059,0.510138278299635,0.09272983469793096,-1.15480579233909,True,False,True,False
hsa-miR-6796-5p,0.65999,1.58007167146656,1.0692,0.41779,0.49298,4.31679509105067,0.0022606561049404,0.510138278299635,0.08498328309845483,-1.19173752807596,True,False,True,False
hsa-miR-376c-3p,-0.722686666666667,1.65025236619867,-0.53392,-1.22706,-0.40708,-4.23491760392232,0.0027367396349429,0.55008466662353,0.10509882345013404,-1.33708807730547,True,False,True,False
